"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Update exercise","LMS service","Thu Nov 27 10:15:32 UTC 2025","passed","Thu Nov 27 10:15:32 UTC 2025","Update entity","Exercises","",""
"","24","Create exercise","LMS service","Thu Nov 27 10:15:31 UTC 2025","passed","Thu Nov 27 10:15:31 UTC 2025","Create entity","Exercises","",""
"","527","Create user","LMS service","Thu Nov 27 10:15:37 UTC 2025","passed","Thu Nov 27 10:15:37 UTC 2025","Create entity","Users","",""
"","261","Create file","LMS service","Thu Nov 27 10:15:34 UTC 2025","passed","Thu Nov 27 10:15:34 UTC 2025","Create entity","Files","",""
"","32","Get courses","LMS service","Thu Nov 27 10:15:29 UTC 2025","passed","Thu Nov 27 10:15:29 UTC 2025","Get entities","Courses","",""
"","255","Create file with empty directory","LMS service","Thu Nov 27 10:15:36 UTC 2025","passed","Thu Nov 27 10:15:36 UTC 2025","Validate entity","Files","",""
"","14","Get user me","LMS service","Thu Nov 27 10:15:38 UTC 2025","passed","Thu Nov 27 10:15:38 UTC 2025","Get entity","Users","",""
"","263","Create file with empty filename","LMS service","Thu Nov 27 10:15:35 UTC 2025","passed","Thu Nov 27 10:15:35 UTC 2025","Validate entity","Files","",""
"","19","Get exercises","LMS service","Thu Nov 27 10:15:34 UTC 2025","passed","Thu Nov 27 10:15:34 UTC 2025","Get entities","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Thu Nov 27 10:15:37 UTC 2025","passed","Thu Nov 27 10:15:37 UTC 2025","Validate entity","Files","",""
"","22","Get exercise","LMS service","Thu Nov 27 10:15:32 UTC 2025","passed","Thu Nov 27 10:15:32 UTC 2025","Get entity","Exercises","",""
"","14","Get file","LMS service","Thu Nov 27 10:15:35 UTC 2025","passed","Thu Nov 27 10:15:35 UTC 2025","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Thu Nov 27 10:15:29 UTC 2025","passed","Thu Nov 27 10:15:29 UTC 2025","Login","Authentication","",""
"","289","Create user","LMS service","Thu Nov 27 10:15:37 UTC 2025","passed","Thu Nov 27 10:15:37 UTC 2025","Create entity","Users","",""
"","22","Delete file","LMS service","Thu Nov 27 10:15:37 UTC 2025","passed","Thu Nov 27 10:15:37 UTC 2025","Delete entity","Files","",""
"","32","Update course","LMS service","Thu Nov 27 10:15:30 UTC 2025","passed","Thu Nov 27 10:15:30 UTC 2025","Update entity","Courses","",""
"","554","Create user","LMS service","Thu Nov 27 10:15:37 UTC 2025","passed","Thu Nov 27 10:15:38 UTC 2025","Create entity","Users","",""
"","292","Delete exercise","LMS service","Thu Nov 27 10:15:33 UTC 2025","passed","Thu Nov 27 10:15:33 UTC 2025","Delete entity","Exercises","",""
"","28","Create course","LMS service","Thu Nov 27 10:15:31 UTC 2025","passed","Thu Nov 27 10:15:31 UTC 2025","Create entity","Courses","",""
